"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Российская Федерация","352022","1014047","2515556","3581413","4317948","5688623","6014397","6969848","8171475","9030831","10023794","11587706","982749","1649419","2701370","3224478","4025238","4965856","5589826","6382696","7385786","8471685","9414626","10320528","1052959","1739796","2531101","3543716","4885762","6371700","7578642","8571961","10151737","11551557","12842222","13797163","1264531","2472383","3861187","5454456","6742952","8040521","9110975","10276949","11689205","13001948","14267422","15758426","1238745","1847423","1569933","2509116","3245992","4308912","5370263","6502837","6972917","8425214","10283287","12421071","1359404","3116108","4990295","7277361","9466205","11600668","14368110","16924597","19559979","22443408","25652315","29649744","3002259","5113801","7120630","11439032","14590239","16588002","18779880","20884453","20156102","21813395","23743623","25925459","2336856","4155506","6027547","9019434","11828090","14802847","18569461","21417157","26065392","29010892","32071807","33306295","2379103","4619392","6648903","10049509"
"Центральный федеральный округ","107894","340303","1098802","1484396","1738933","2387995","2393448","2783019","3250917","3599193","3903618","4851225","471440","553529","1097296","1061003","1371541","1813287","2045347","2316491","2693917","3091952","3439467","4011526","393731","574963","919893","1299140","1738051","2433715","2913581","3187850","3704246","4191456","4637491","5213436","420360","840645","1477281","2070075","2473605","3110788","3503828","3823362","4422153","4925607","5439351","6596294","530836","582323","263958","677401","968454","1352066","1799864","2244909","2421093","3054552","3936524","4534374","550317","1408374","2265478","3294833","4198117","4969903","6354782","6328764","7557587","8416630","9389630","10512116","905798","1606707","1646818","3134345","4144716","5416993","5935112","6613607","6661314","7579788","8459510","9616447","902032","1559727","2447767","3696176","4885262","6544868","7726804","9203574","11479465","12456867","13711155","13825279","882294","1680555","2653123","4008303"
"Белгородская область","-618","5070","30616","44055","49438","112749","116557","126909","176955","190488","205992","213778","12553","24059","37870","51061","60408","82392","106599","130649","145314","159029","166324","138352","14691","27062","40307","53856","67895","86501","115621","129784","151755","171068","193805","206666","17721","32709","49107","67060","86497","104386","124403","141621","162895","177523","190627","198339","12153","18201","156731","179950","199363","213231","225657","244437","272416","305038","335967","361111","29169","65217","136680","175971","223793","303510","733307","785759","834396","870958","906393","935400","32963","70019","118155","147193","173539","166887","194027","204037","210556","235594","250358","226043","13717","30908","69525","94905","120569","147058","167710","199853","230429","266211","296693","329059","25682","52889","84973","117213"
"Брянская область","572","2561","2993","2781","3564","7528","8082","9856","10873","15990","18748","16516","1160","3917","5619","8317","9685","10865","12057","14898","23556","23298","22541","16865","-2488","-2382","-1942","-1238","-174","2471","5042","2659","7574","9439","9641","3972","6655","12067","18989","21899","23317","27065","27903","24061","26591","29817","29604","28574","-467","-215","1762","2782","6125","7894","10378","11150","15004","16816","17799","23964","-128","305","3265","10008","12509","18492","20668","22969","30669","34982","35526","39460","808","2536","10072","12419","13385","23132","26515","29544","31608","34465","37690","44831","3580","6666","13236","21167","24126","27552","31612","39155","45828","51785","59571","64338","4376","11356","17835","34892"
"Владимирская область","4949","5645","9126","11718","14392","20933","22261","25234","29252","26284","30763","37091","1768","2704","4881","6574","7602","12967","15059","17647","22034","30113","32579","34294","2123","4908","6449","9876","14014","16413","19155","23567","32222","35958","43012","43031","2564","5855","9138","11288","16542","21988","25917","29647","36754","42051","53257","55382","4364","11061","12710","21322","26248","27874","33928","40717","45970","53037","61564","66186","7343","22028","32188","42315","53856","64164","77340","66737","100009","118960","136762","143225","5792","9879","26398","32891","40081","43954","53118","61068","102047","93277","155398","165501","8463","18070","31182","37788","47342","53929","78704","89917","96682","104988","115810","119687","11723","21456","30409","39546"
"Воронежская область","3067","6319","12283","16621","19280","25244","26833","30966","36170","38723","38807","40234","2027","3164","4264","7087","9984","13269","17229","20826","23771","26646","28750","32700","2290","3639","7345","8647","11971","17450","18664","23144","27231","31831","37184","41580","3079","5502","9260","12315","14880","17192","19716","22185","26588","28196","29854","25707","2670","5295","10163","13446","15902","22469","26455","30574","42060","50133","58518","61669","5369","10134","20651","28304","34674","44867","50459","55650","68553","77240","88682","107173","12589","21719","37242","49649","56488","65508","75497","83121","90253","101831","109542","124005","8586","16046","28670","35546","42029","54360","60384","66374","89033","105123","113102","135550","9014","15604","31578","41588"
"Ивановская область","-172","-157","-761","-355","-119","-49","333","309","611","782","935","1299","40","326","-14","714","1267","1192","1438","1850","2987","3049","3265","3038","390","564","816","1099","1504","-1742","-1620","-1365","-798","-554","-315","130","386","711","1496","1934","2614","3073","3430","4073","4622","5074","5257","2463","493","1027","1886","2062","2491","3566","4116","4480","6399","6177","7153","6614","818","1733","4060","4536","5257","6176","6666","7715","10276","10599","11631","13287","1188","1767","3800","4550","5948","8930","9489","11314","12459","13379","14170","16767","1467","2594","4923","7167","8815","12379","13516","16226","18505","21917","24114","26581","2198","4371","6452","8610"
"Калужская область","-2063","-2341","4607","9434","9711","13589","16679","15180","21340","25427","29466","31527","2678","5749","11909","16241","18034","24034","24415","30663","38824","46331","51772","56668","3535","8337","14371","16829","20433","24169","30051","28757","34973","45925","50293","53236","8368","13555","20109","29452","30327","29117","43004","44418","52444","58487","60657","72852","8361","9160","1306","5428","10760","12416","12446","15206","10794","16927","22708","27216","1767","10108","15951","25321","28836","40068","47603","52627","61632","60212","71626","73594","7867","9154","15679","29620","35602","46034","36913","36271","46587","45221","51605","41337","4586","-5784","-9598","-8440","3856","-800","-3765","1663","5626","15720","30026","30800","5309","6431","12359","28213"
"Костромская область","311","1456","4363","5907","6891","7778","8072","9278","10229","11582","12239","13652","514","1490","2625","3083","3731","3288","4132","5349","6728","7603","8108","8532","192","917","2167","2283","2969","3668","4260","4519","5241","6263","7037","7675","782","1636","3115","3816","3771","5673","353","1157","2479","3037","3685","3744","894","1440","2758","3064","3913","5710","6590","7485","8697","10054","11302","10630","1125","2013","3818","5170","6579","8907","11018","13269","15973","17977","19312","19934","1791","3216","5189","6812","7299","6749","7638","8232","10505","11753","12975","15574","1137","2760","4499","6655","7648","10198","11384","14410","14350","14568","16121","21805","1430","2986","5150","6463"
"Курская область","4180","6244","7208","13362","18276","22692","25213","29512","35923","40719","46178","53621","6892","11775","14573","20646","25739","28633","32811","38497","44789","50403","56084","61085","6269","11243","14303","19832","24800","29804","37869","43843","53505","64103","72610","78665","7453","15288","24119","33049","41449","48757","57093","66340","73693","78547","82580","87395","7703","12223","17420","22241","22823","28205","38293","47668","57658","72995","88184","99052","11898","26990","47919","62911","82853","100970","122994","146109","168543","187407","204531","232609","9124","34658","57557","76320","90041","92149","95092","100260","106211","113403","119226","119054","5626","9807","17048","24974","32388","43607","50112","61449","73756","86887","100173","111645","7856","16793","28224","35257"
"Липецкая область","-117","1760","13348","24239","31492","40080","44856","59894","69018","77932","83914","91578","5798","13746","21923","27433","42892","43187","50393","59996","68475","96469","104679","149367","6421","16310","24502","34766","51633","60288","74019","81155","100034","125397","139039","143714","10543","19954","30599","59951","66996","79142","87787","92028","132482","140553","142869","171902","3152","2726","-7158","29199","40811","47970","51792","57256","84097","96472","117312","130685","11408","30696","61765","105989","140931","178610","211070","252433","276605","306401","305181","397596","10022","11640","31216","126949","163472","189317","160267","213772","224333","221546","231009","303120","12326","24547","58684","105062","131368","138762","157482","246730","290792","316501","322823","370486","11970","35908","51447","97211"
"Московская область","12938","29458","92182","138975","166244","221838","247696","279978","337427","379842","421505","466374","36041","65731","80237","128614","163969","188465","213915","260046","308427","332578","393134","442936","37347","71458","126000","126163","187058","247607","294535","328967","369251","435123","472480","527996","46819","85050","124175","163390","233435","284346","360046","416462","472930","528072","617983","656533","61157","92342","105180","179494","228400","215279","258316","341255","372150","479365","592627","702616","65055","151081","249431","359654","432952","501769","617036","771004","797868","896225","1010464","1131842","131284","187766","328707","484559","577492","640515","764644","847309","841291","951232","1036787","1069112","119644","220987","299591","442508","577764","674966","820402","946806","1090028","1265322","1409214","1645221","135295","230909","399010","566911"
"Орловская область","1094","2133","3712","5174","6238","7146","8414","9061","10964","12284","13689","13967","453","928","2423","3777","4677","6004","6102","7400","9399","10693","11576","10759","178","97","755","1421","2284","4377","6907","8816","10526","12089","14138","15083","640","1865","2169","4065","4810","9309","10837","12825","16026","17772","19226","19968","1146","2432","4480","6215","7183","8183","9739","12873","17815","21281","24198","31114","1696","5349","9968","13085","16550","20333","23336","26878","31592","35372","40292","48430","3069","7883","14948","19450","23494","25822","28457","31058","34117","38090","41265","44780","2315","3564","9195","16302","18937","22981","26269","31031","36181","39993","43762","46843","1575","3820","7207","10795"
"Рязанская область","1461","3960","8729","12232","13513","16264","19231","22282","25812","28956","30325","33344","2591","5223","7666","10585","14863","17432","20884","22582","23698","25852","28837","30092","1956","4564","6685","8063","9968","11787","15037","18878","22866","26638","29049","31344","1817","4094","5874","8731","11143","13131","16840","22358","26002","33679","38535","38060","3334","6566","9842","11616","14099","23547","26788","32567","38021","45954","51529","55091","6821","10013","9844","14380","19602","26162","30803","39687","45065","54176","57862","64773","4144","9185","16510","24481","30656","37464","47090","56164","58221","64918","69333","67815","4452","10112","12142","21740","24045","32975","45189","56635","62401","73879","88142","75613","8029","12229","20451","26402"
"Смоленская область","1705","3065","5066","7768","8498","9913","10459","11921","12904","13582","14487","15299","1017","1271","1443","3009","3235","4077","5570","6268","7561","8700","10561","9870","1040","2112","3251","5728","6760","3524","5074","7839","8825","10803","12646","13569","902","1171","2275","3172","4429","6092","7316","9457","11106","12404","13420","14697","1026","1565","2561","5183","7303","8081","8803","10949","12750","16125","18770","17708","1969","4179","7460","10110","13688","16621","20730","26668","29875","35142","40814","44377","4066","6444","8613","13353","15616","18175","21965","27781","30417","34726","37488","41800","3383","8294","14153","21660","26180","31843","36853","45844","47996","54813","59754","62587","7155","11628","13567","19422"
"Тамбовская область","898","1617","4589","5943","6716","7703","8830","10183","12841","16017","19102","20187","1696","1940","67829","2228","1963","2850","3109","2902","6065","7238","9426","9510","621","1427","1340","4813","9266","12408","15268","17086","22212","26793","33029","36375","1433","4430","4231","14041","17223","17136","17749","18327","21299","24349","26308","23904","333","1049","2373","5133","11459","15311","20173","23257","28980","43718","49227","41148","2594","6400","26523","34944","35908","42770","49165","52950","63782","79063","88234","97206","4297","7082","14050","25285","28163","30569","50627","55289","61547","68000","76569","70934","3541","7029","10446","15709","20856","24968","31976","41339","54781","68629","78519","85256","6236","11137","14987","21080"
"Тверская область","-485","-664","1978","3025","3661","3133","3729","4931","6034","7938","9115","10002","-381","1408","1521","4102","9619","9591","11658","13305","13693","15073","16994","12985","1065","4008","3684","5980","7295","5443","9028","9213","11148","13453","17899","16755","965","4145","5231","7644","9649","11802","14369","15806","18213","19638","21968","-49910","377","735","-906","1341","4170","4239","5959","8005","9179","13150","16385","15760","-220","1025","1379","5104","6263","7748","10690","14920","21610","18469","27620","30067","3380","4555","12343","13931","14121","16873","21166","23073","25796","30091","34075","30105","2237","4707","8519","12169","16783","23035","30191","32835","32169","37469","44364","48665","1877","3689","7794","10649"
"Тульская область","2050","7776","21463","26442","28111","39239","40488","44154","52048","54834","53237","67307","4905","10514","16402","20070","20631","25695","25697","28635","33472","45041","44139","47579","9234","15062","14923","25984","37632","38354","44088","53428","67494","76575","91089","120465","7464","12725","18906","28382","31387","32892","41153","48660","47109","56569","60892","71535","2201","5478","10529","20042","30439","32320","39434","38866","47596","47239","55919","68992","10804","24853","32149","41271","66150","75163","83417","94060","97856","105955","122751","148879","20840","42478","56160","81642","102308","102342","111026","123012","117027","143938","144155","164701","14013","41730","61679","70508","102713","129068","142618","185632","206557","224716","239944","235405","6628","42109","38694","60416"
"Ярославская область","961","4708","8110","11546","10644","12708","14432","15732","17870","22430","26640","24043","3649","4981","10538","12545","17711","17548","19150","22915","26521","31096","35073","34473","6237","7975","9032","12342","14970","19605","22916","26723","30265","33814","39333","33752","4924","8156","11746","14623","15126","18210","20888","27273","32019","37144","41453","39095","2953","6201","10588","13489","16894","17866","20187","23222","25357","30623","37466","49254","4515","9547","16939","23722","28121","34654","40410","44125","46736","54807","62106","59247","6238","10890","18770","26147","31986","35757","39424","44752","48966","51708","60208","60215","7256","15696","24007","31604","38225","46636","55183","61728","67028","75865","87355","69967","6294","13086","23390","31184"
"г. Москва","77163","261693","869190","1145529","1342383","1819507","1771283","2077639","2384646","2635383","2848476","3701406","388039","394603","805587","734917","955531","1321798","1475129","1632063","1888603","2172740","2415625","2912421","302630","397662","645905","962696","1267773","1851588","2197667","2380837","2749922","3066738","3375522","3839428","297845","611732","1136742","1585263","1860010","2381477","2625024","2826664","3258901","3632695","4001176","5136054","418986","405037","-78267","155394","320071","657905","1000810","1294942","1326150","1729448","2369896","2765564","388314","1026703","1585488","2332038","2989595","3478919","4198070","3855204","4856547","5452685","6159843","6925017","646336","1165836","871409","1959094","2735025","3866816","4192157","4657550","4609373","5326616","5977657","7010753","685703","1141994","1789866","2739152","3641618","5071351","5970984","7065947","9017323","9632481","10581668","10345771","629647","1184154","1859596","2852451"
"Северо-Западный федеральный округ","19440","124011","318191","485245","555250","782793","843269","992132","1104126","1215159","1307470","1584198","97209","170028","279232","487951","587546","624511","728492","832013","1052429","1175114","1257374","1388320","153146","172011","248965","428321","563779","668089","807090","904046","965413","1090926","1224471","1428533","169775","287324","395989","694515","840364","1053652","1144588","1295581","1359815","1518555","1650111","1734226","86478","143901","121438","264675","387041","627955","719324","894984","1039797","1229092","1464606","2231607","133934","315658","452330","859147","1169916","1677152","1931724","3360504","3873684","4502887","5150735","6919020","652880","823669","1670459","2901192","4283191","4069542","4606872","5116363","4310984","4180494","4074842","4687694","484191","646505","809676","1184084","1517173","1788153","2381085","2805960","3854172","4357814","4644941","5153661","292487","585755","520018","1120284"
"Республика Карелия","537","1505","2890","4830","7049","9615","11826","14529","16251","17784","19428","25542","2179","7204","10360","14416","17092","18481","19572","22241","24668","28961","31458","36511","1365","4153","7364","10477","15698","21215","25763","31390","-19728","-15005","-11477","-7955","5475","10076","17283","24665","31830","37795","44407","49556","58612","61593","62623","69365","3353","5372","6576","13125","17161","19106","22977","27270","31792","40648","45582","52802","9132","18039","28100","41326","47677","65733","83049","101664","114934","122024","133415","142046","5955","14157","22567","34735","43124","46838","46640","49412","55156","55917","59152","60811","1241","839","1806","5677","9741","13187","17590","21902","25475","29382","32184","35266","3454","6060","11396","15941"
"Республика Коми","3870","11933","13684","20414","32195","33348","43316","48906","51574","60482","69719","60598","10541","14225","12098","34356","38974","38434","46445","52831","53998","63803","69366","75996","12714","17087","22676","37021","51696","53584","67615","84721","96805","116988","119485","114436","15972","28144","37774","52631","60549","61746","70660","82266","90768","106249","127692","107799","6920","10764","-2291","-12017","-8216","-4979","2629","7295","6562","14653","15089","15319","7906","17405","20219","26295","34272","72736","86845","98193","97561","124485","141677","135881","36121","70412","77767","76010","82640","68089","99368","117187","93398","107806","120433","101414","6839","15137","3636","22304","33866","35417","57290","82502","90052","109078","135011","91348","10104","14738","19644","30392"
"Архангельская область","848","5857","8039","13389","16477","28054","31458","32833","39641","44238","51815","55163","5176","7996","10388","17167","22625","23673","28006","36233","38751","41695","44249","52273","2785","6080","7712","9740","14315","16630","21324","22796","28177","33151","34985","34950","5696","10656","15401","18374","22061","27420","30990","35549","41322","44164","47614","45624","2301","-306","-10724","-7475","-3168","-2293","-858","-473","-3231","-301","6441","6955","849","5139","-59469","-50883","-41110","-29844","-19571","-8222","-693","9518","15227","37736","10960","20130","34585","47032","76069","80562","90040","96506","102986","108447","117301","99383","2419","7436","9780","16839","21563","20673","29217","44743","60925","60936","71722","76203","9640","15597","14103","24480"
"Ненецкий авт. округ","762","1806","-15","2623","4284","11557","13406","12607","14123","16212","21274","18247","1774","3783","5346","10109","12806","12423","14209","15744","15179","15693","16741","16215","791","1800","1160","2057","2905","413","483","629","-167","1158","-155","-4996","1103","2322","3109","3876","5769","5040","5492","6962","7985","8880","9837","5803","40","-5","-3853","-6512","-7740","-8953","-9670","-10062","-12440","-12916","-13518","-20647","-329","1003","2051","2799","4960","5324","5789","6847","4896","6182","7362","9532","7571","16848","19881","20003","33141","31206","36610","39046","36401","40019","42343","35333","298","88","-1160","-840","852","786","4578","7248","16982","10885","14981","21257","1734","3146","552","2830"
"Архангельская область без авт. округа","86","4051","8054","10766","12193","16497","18052","20226","25518","28026","30541","36916","3402","4213","5042","7058","9819","11250","13797","20489","23572","26002","27508","36058","1994","4280","6552","7683","11410","16217","20841","22167","28344","31993","35140","39946","4593","8334","12292","14498","16292","22380","25498","28587","33337","35284","37777","39821","2261","-301","-6871","-963","4572","6660","8812","9589","9209","12615","19959","27602","1178","4136","-61520","-53682","-46070","-35168","-25360","-15069","-5589","3336","7865","28204","3389","3282","14704","27029","42928","49356","53430","57460","66585","68428","74958","64050","2121","7348","10940","17679","20711","19887","24639","37495","43943","50051","56741","54946","7906","12451","13551","21650"
"Вологодская область","-1472","3643","34732","52248","57901","75145","74989","91651","105688","117492","119813","144242","6693","21830","27845","32062","36765","57270","63324","73906","121466","175354","183580","200260","11589","22984","68639","77514","96988","115667","129696","138430","159417","174710","186522","207794","22477","35757","55003","66871","78497","95531","115430","147612","158976","168963","174676","205910","4057","6206","4166","29939","51490","67228","64996","121306","127700","143286","168730","199730","18699","46850","97664","130172","191619","304285","349033","426496","550224","585694","626974","712351","34963","70234","128273","212739","934783","771397","810265","836079","691951","715403","708263","913700","20739","53916","212852","251415","280438","387201","429821","473724","608476","636194","665820","693098","33187","60750","405525","431963"
"Калининградская область","1110","5220","14960","19601","18902","24669","23282","28550","36305","40053","40725","47524","2550","7312","10674","13328","15210","9681","13972","17526","22643","24741","27629","34014","3144","8827","5799","6183","10622","13492","17807","20769","26975","33754","33596","30979","4142","8899","13826","20292","20576","22867","30054","33078","38456","44344","48132","53015","5518","6265","-2443","5157","7433","8682","11622","18470","78758","83550","98705","170588","-6081","3111","13626","31839","78882","222222","225751","239407","239281","252870","251940","317860","53399","50233","66689","102409","125237","193444","175751","178612","195866","255510","270864","238499","5601","-13436","6479","32995","125506","134991","165569","234212","228377","407005","363497","404384","27717","16976","16285","28925"
"Ленинградская область","8711","17639","33038","50826","62090","79693","87390","98619","120482","136013","147558","186157","12844","20985","26455","33475","49567","58383","67001","85718","98983","113328","128457","148102","12980","19440","29888","44850","67186","96196","107212","124889","147013","164767","171777","182403","9728","34303","50997","56304","69383","94207","115136","129650","137726","157229","179276","194669","14313","8262","10606","27490","44755","65616","79041","98813","97536","122642","153125","170531","20524","38886","65952","92437","120225","150043","174606","202030","228303","265945","297161","337074","34032","84039","123334","179262","199993","242389","265722","278092","304755","329586","374216","432942","34726","71010","109369","149325","171306","198478","245581","307959","361702","402040","445415","493098","34184","79084","129018","186931"
"Мурманская область","11064","18521","34861","46103","53961","60963","66879","77004","84802","92350","105655","107624","8144","15050","22613","30998","38516","30000","37195","42720","44691","51706","60837","59200","2758","8968","13078","18342","27396","33346","42385","47625","52668","57705","69159","73110","5771","14252","20064","27086","32156","41843","51848","65513","83199","102447","115731","80528","9305","34473","59086","66990","70197","74520","89878","111077","142194","185450","214172","229746","32351","68478","111142","153663","183914","215738","261370","292753","325370","368998","401702","411756","40160","88970","155576","179312","203837","210967","239786","250999","259868","286457","309110","329455","22111","61487","84205","114048","140470","170441","210579","254611","281671","297085","287254","308171","8829","12372","3337","18509"
"Новгородская область","1528","2735","12204","15754","16365","21817","18973","21750","20361","22367","23026","25264","492","3144","5326","7754","8428","7428","8812","10081","14298","16116","20038","21459","2512","4553","3133","1263","4541","5683","7243","5253","9942","12889","21553","23991","5422","7536","11188","13124","14563","22040","23596","25291","30980","30958","32900","36252","-629","-3583","-9292","-4310","27","5021","5379","6949","5524","14390","20664","22749","2215","6621","11839","16488","25406","42229","53191","78055","83160","95845","111980","131889","19856","41225","56499","71289","83586","92783","94704","102293","108757","91915","102001","112773","8714","16435","37296","42724","42772","53916","59852","66920","73483","77822","89568","85348","6220","12407","-19119","-11411"
"Псковская область","-129","215","1415","977","1259","3591","3888","5098","5527","6839","7731","6956","984","826","1862","2158","4805","2898","3040","4381","5336","6016","7156","7533","713","1907","2317","2796","3717","4872","5363","6189","8636","9281","11384","17028","540","1029","3887","5386","6210","6702","7873","9384","10172","11654","13328","14316","1100","1369","1147","2543","4146","4754","5823","7590","6695","8382","9864","11611","1005","1314","3945","5576","6968","9605","11168","12456","13419","14796","13411","19430","808","1661","2486","4946","7235","8580","10468","13038","13868","15872","17315","20310","1770","4394","5508","8450","11019","12327","15038","18846","20692","24250","27632","29691","2642","5344","5222","8363"
"г. Санкт-Петербург","-6627","56743","162368","261103","289051","445898","481268","573192","623495","677541","722000","925128","47606","71456","151611","302237","355564","378263","441125","486376","627595","653394","684604","752972","102586","78012","88359","220135","271620","307404","382682","421984","455508","502686","587487","751797","94552","136672","170566","409782","504539","643501","654594","717682","709604","790954","848139","926748","40240","75079","64607","143233","203216","390300","437837","496687","546267","616392","732234","1351576","47334","109815","159312","412234","522063","624405","706282","1917672","2222125","2662712","3157248","4672997","416626","382608","1002683","1993458","2526687","2354493","2774128","3194145","2484379","2213581","1996187","2378407","380031","429287","338745","540307","680492","761522","1150548","1300541","2103319","2314022","2526838","2937054","156510","362427","-65393","386191"
"Южный федеральный округ","6908","34908","123908","181592","182920","279379","290881","355356","452964","500249","543862","610499","28157","93324","138600","173274","227554","245246","293017","349987","399004","450122","498429","530459","46855","82118","111657","141394","194886","224918","277535","333958","417547","469663","539150","573181","58532","103294","152095","196957","283462","293310","314126","383031","459853","518265","591063","650947","48276","79251","70136","119448","168608","219183","279422","352207","444589","505888","598673","649014","46496","77454","151587","260835","338846","416241","505578","607342","697467","794884","927989","976324","93372","142666","210100","365005","462395","517014","629816","732443","809337","908453","995750","1050049","93638","160406","251509","374571","493842","620237","778703","984420","1116100","1240889","1386644","1626768","133052","223490","327161","453458"
"Республика Адыгея","-608","-267","945","1163","938","1257","1265","1484","2065","2154","2220","2391","130","422","622","721","964","740","924","1100","1275","1465","1343","1136","40","217","404","549","795","952","1244","1219","1664","1977","2179","2672","80","222","354","771","1151","1128","1340","1594","1447","1761","2039","2413","34","188","-238","50","460","985","1210","1665","2145","2842","2994","3237","332","940","930","1664","2283","3162","3817","4405","5120","6435","6934","7401","229","679","1019","2180","2981","4104","4337","4674","5156","5266","5929","6161","397","605","1081","1608","2213","2404","2868","3432","3887","4682","5557","6095","397","1133","2309","3232"
"Республика Калмыкия","213","-286","-211","-322","-227","43","192","231","139","529","739","900","106","113","-127","-118","-103","-165","-243","-154","-538","-481","-408","-273","173","276","288","475","563","617","709","782","960","1043","1160","1229","94","192","223","358","502","455","553","693","663","745","845","602","74","177","268","369","476","607","739","801","715","659","622","713","267","514","748","1057","1297","1396","1556","1723","1830","1966","2273","2268","276","488","567","860","1071","1401","1583","1916","2206","2376","2682","931","111","124","518","606","698","653","678","761","835","758","739","2647","48","46","89","117"
"Республика Крым","-98","-423","980","3550","4009","3920","4725","8879","10110","11130","11042","30123","-327","30150","37465","39032","38838","39073","40902","45475","45674","58872","60725","62895","-329","960","169","-657","88","2212","5633","8547","8154","8924","9855","7788","393","1043","-14","1655","1917","3485","6220","7891","9955","10901","11642","11406","-504","-916","-3830","-3297","-2794","-4719","-2420","7045","5166","5008","6600","10931","-28","-1195","-373","1466","7001","8945","13794","18173","20935","23942","26160","25841","869","418","-2050","1519","5106","4071","5832","11529","11480","13602","14373","19196","-5386","-6659","-6702","-7316","-5646","-5056","-942","3319","2166","3469","10105","19474","508","-1536","-2288","-953"
"Краснодарский край","1557","21574","97636","142467","134463","218871","212482","256364","341567","374358","399273","443400","21355","46031","80628","100615","132094","136160","158883","191503","217935","236602","256387","265270","22843","40713","55397","55924","79011","78891","105194","123855","179530","201648","242363","252231","34892","56761","84709","104588","161852","207766","234659","267929","332645","364970","415493","457276","23181","31717","1611","43012","88462","128106","158394","194033","240755","277755","335793","356766","18666","57096","97350","164318","210074","255078","303914","365969","418076","483169","557811","585626","33140","47416","68508","180874","245173","282435","322417","381062","434828","487712","538138","555862","66426","92519","138662","206165","270847","325292","410068","525148","614930","690893","797217","970372","72518","106576","166502","238399"
"Астраханская область","2055","3168","-1242","-1608","-2306","-6280","-6412","-3963","-5809","-3710","-1598","-851","4011","8679","9274","13967","20001","24534","30893","37657","39896","48223","60317","68413","8635","16241","23024","36041","48137","64972","73438","89845","100964","114320","130360","139390","10480","20459","31438","43781","55656","64631","76725","90271","96522","108142","118754","129625","9749","20054","25443","21847","21439","27855","34559","43022","49426","51090","64448","68647","11622","21829","34859","49144","63668","76910","93639","109336","123025","134470","156751","168027","20426","40385","69606","88655","108872","122363","157834","176380","188298","197872","211937","223028","7504","16758","31602","46793","63572","80996","104251","130115","152193","171479","180157","198639","21918","49171","69784","93375"
"Волгоградская область","4425","10528","14084","20413","23306","24596","29999","34981","39674","43787","48414","46565","-782","-1106","-134","5083","11354","18593","27582","35957","42169","48425","54257","53785","4476","7865","13355","22024","30977","36645","44863","57407","62714","71875","82708","96127","8061","16139","21154","26013","34773","39036","49970","61956","71004","80538","87594","91350","9989","18034","36913","40884","39254","42038","53529","61388","70506","75884","81081","86071","6998","10036","16183","23647","26102","25580","30325","30706","34761","38210","48522","57300","9789","23767","30221","29447","33688","42152","56250","61767","63579","76048","80038","89715","7184","20563","32330","45010","54343","60279","73180","83654","93120","100419","108635","125020","5919","15770","21679","31475"
"Ростовская область","-734","191","12696","19479","26746","40892","47347","55287","62480","68971","80667","84352","3470","8642","10404","13176","23347","25282","32742","36847","50514","54742","63281","77010","10948","15783","18888","26896","35293","40982","46212","52331","63495","69647","70406","73855","4422","8506","13943","19138","26753","-23472","-56138","-48342","-53070","-49564","-45970","-42449","5547","9896","10515","17106","21736","24906","34060","44428","76255","92657","107387","123451","8957","-11744","2139","19804","28854","45372","58861","75726","92315","104984","128489","127942","28311","29894","43206","61758","65834","60593","81555","94697","103289","125478","141833","154009","16246","34131","53576","80785","106721","155000","187709","236378","247511","267684","282863","302918","31661","50844","68382","86490"
"г. Севастополь","-169","64","708","1052","482","1514","1283","2093","2738","3030","3105","3619","194","393","468","798","1059","1029","1334","1602","2079","2274","2527","2223","69","63","132","142","22","-353","242","-28","66","229","119","-111","110","-28","288","653","858","281","797","1039","687","772","666","724","206","101","-546","-523","-425","-595","-649","-175","-379","-7","-252","-802","-318","-22","-249","-265","-433","-202","-328","1304","1405","1708","1049","1919","332","-381","-977","-288","-330","-105","8","418","501","99","820","1147","1156","2365","442","920","1094","669","891","1613","1458","1505","1371","1603","83","1486","704","1323"
