"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Курганская область","-252","-502","644","1258","919","2738","3518","3840","3953","4623","5108","5135","86","766","669","1348","722","1143","1367","2051","2277","2786","3598","802","234","442","388","1236","3843","4288","4198","4590","4962","5587","6048","7439","216","614","744","969","1203","5139","5170","5587","6483","7480","10796","10253","-120","150","1794","459","588","1867","2106","3248","4182","16851","18993","18791","1073","2326","2986","5076","5509","6608","7556","8328","8868","9803","11556","11822","514","1114","1745","4635","6742","8130","9216","10753","11448","13700","16575","17705","1483","3018","6265","7314","10726","13595","16019","18570","21617","24319","25378","26769","2008","1851","5909","7890"
"Свердловская область","-5098","3942","53533","74903","85520","107337","123659","155112","177594","194130","205068","235390","7742","30747","65972","76872","92115","100602","113865","138622","165088","209660","225725","257070","22923","44625","47838","50079","92743","131551","157230","208819","245401","284534","298198","321959","28789","48646","78747","121358","144021","176398","250232","270128","293123","309030","339645","354400","20460","27774","97","34809","57063","100824","109649","131905","148178","184095","234161","285747","27823","56156","94584","131121","172849","242398","285613","387380","441287","497723","527905","607179","68918","100816","164913","226805","280639","300432","330949","363519","419059","447587","504341","321376","36817","83686","129445","182282","253198","311499","434372","510694","574807","545203","639498","677212","29370","78876","111276","178613"
"Тюменская область","111860","163569","140487","245351","425031","482646","602502","639126","738345","795751","1125504","1018854","75192","175928","237190","327958","402759","663620","656594","714310","800382","904711","1052322","1124065","101125","223226","342961","545760","797252","988319","1121359","1360178","1730948","1947620","2136105","2223976","138124","333135","496218","712309","919236","1008375","1214663","1520588","1603870","1741543","1900803","1909641","230483","479352","718627","650004","605533","654355","893732","1046911","1219326","1318151","1375092","1372393","259329","413649","590071","855790","1090603","1280407","1600442","1924352","2088375","2408324","2996896","3279308","528799","1073584","1201095","1338737","1095421","1366392","1971070","2253968","2341249","2759075","3237222","3533002","223664","601948","715629","1154153","1474452","1708844","2756394","2611960","2922445","3362412","3619957","3660873","365795","746202","1005808","1402312"
"Ханты-Мансийский авт. округ - Югра","118770","155004","-56522","-110267","48652","33802","190370","165813","135104","193787","322798","193170","45179","14165","-25894","34878","86603","223797","300639","337622","343938","413585","505927","518567","23392","63518","178592","450580","583589","672466","763918","1105425","1089540","1229543","1344724","1501859","-77357","15746","32951","142205","265132","220794","322290","555304","500615","557847","645280","576706","138909","397378","916278","677097","556634","572720","802359","929126","1184332","1220940","1107053","1035824","222177","232201","324016","374261","467723","457455","644471","806425","786399","842304","1255434","1265422","405686","937715","785239","214871","-114505","-780117","-87025","-12454","-191065","150845","233769","789417","62271","407501","535390","830280","950956","1247170","1643630","2086599","2215908","2261170","2335554","2203162","129119","437600","520072","702255"
"Ямало-Ненецкий авт. округ","-3721","-6597","114654","227537","241453","294945","239798","269377","375931","352889","551696","540036","14473","112368","187751","188104","191395","310404","220179","226646","293325","309602","335898","378837","50550","109542","117560","45419","133129","218544","235737","147556","501681","551705","596829","535019","174194","257877","387110","457408","513761","640641","720189","796920","914659","966793","1037367","1094706","74011","77406","-163234","-36773","26158","43957","69275","80877","13639","54344","190731","246797","23469","124066","187400","363034","457352","601280","686046","787447","934891","1115441","1262736","1474756","89477","75623","326215","908768","914835","1779479","1678850","1844027","2085576","2163989","2584098","2353008","126065","159309","141008","234352","389547","320234","946827","321992","479333","785564","902461","1075284","182629","241084","354668","530048"
"Тюменская область без авт. округов","-3189","15162","82355","128081","134926","153899","172334","203936","227310","249075","251010","285648","15540","49395","75333","104976","124761","129419","135776","150042","163119","181524","210497","226661","27183","50166","46809","49761","80534","97309","121704","107197","139727","166372","194552","187098","41287","59512","76157","112696","140343","146940","172184","168364","188596","216903","218156","238229","17563","4568","-34417","9680","22741","37678","22098","36908","21355","42867","77308","89772","13683","57382","78655","118495","165528","221672","269925","330480","367085","450579","478726","539130","33636","60246","89641","215098","295091","367030","379245","422395","446738","444241","419355","390577","35328","35138","39231","89521","133949","141440","165937","203369","227204","315678","381942","382427","54047","67518","131068","170009"
"Челябинская область","2107","12975","35136","51392","63844","83432","92647","111916","131392","149176","172307","189616","20749","35691","40676","51642","72241","83127","92734","106761","117206","138848","159284","170000","17880","35916","48229","64948","91762","108136","127181","140364","163843","185228","204998","192686","14642","27140","44661","66725","97046","93589","112067","123014","137841","153665","166292","165251","14960","15489","-745","26603","40426","48664","51075","60952","79878","98953","130348","158223","22521","52947","77155","118011","166819","229984","284962","326407","345512","379358","408161","440241","24649","39903","77899","163104","233569","267487","249913","262301","304819","288977","318749","309996","29568","54567","79662","125536","190382","209491","237052","269959","319128","365428","410901","432175","32031","57873","89918","126042"
"Сибирский федеральный округ","43732","118666","267472","381927","451029","572998","602350","695284","897135","995870","1040405","1163121","116605","249690","359540","424029","507873","581275","663312","779135","864953","992092","1101792","1193935","134435","246975","313699","371978","506977","679171","832298","914419","1115999","1281540","1390968","1359676","166671","321767","464851","584308","742479","895108","952598","1009274","1365322","1511800","1652675","1748342","109906","188840","129794","297899","417630","564568","645445","771333","672247","839089","1018008","1482950","106064","289192","570024","638432","860323","1022713","1284975","1497416","1711874","2058997","2421365","2679343","243062","457347","869509","1379730","1695916","1910603","1950712","2119593","2238311","2351188","2521131","2377811","194704","352096","588707","841512","1069187","1317450","1461506","1593630","1670744","1963795","2408036","2514102","182388","303924","513450","758271"
"Республика Алтай","19","-15","-64","-56","-312","-337","-365","-434","-569","-662","-558","-371","-24","79","-153","159","-79","-206","-112","-146","-252","-147","-205","-205","-21","3","279","262","16","260","597","1059","640","703","821","1964","156","403","1277","550","622","1115","1418","1584","2027","1804","1664","1880","377","999","1229","2058","2474","1746","3691","8743","9916","11491","12108","14103","263","714","1243","1788","2281","2709","3157","3827","3883","4320","4751","6594","932","1138","1935","666","448","450","1569","2074","2254","3301","4021","4399","344","233","2409","2984","4344","4776","6020","6820","7595","7435","7095","10522","559","1070","2787","1764"
"Республика Бурятия","2240","5392","3418","5937","5982","7063","8903","9534","11470","13249","15182","15439","2470","2824","3637","4892","4570","5741","6836","8469","9699","10495","10504","13543","1054","2143","5012","6883","9605","16695","19208","20932","23097","24412","26776","28583","1529","2937","4469","5116","5740","8087","8539","11182","12246","12790","14188","13612","154","1292","1588","4062","6344","7470","8147","12250","16664","19158","21576","26909","2393","5289","10642","15789","16655","19361","21513","26491","31783","37211","43140","40775","375","7387","23906","29911","39639","41070","50756","59834","61685","69609","73367","86171","4078","9686","14084","20567","24365","30481","35911","43842","46014","46310","46998","53184","2123","5330","6689","9176"
