"region","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Уральский федеральный округ","4805.7","5825","6524.2","7682.2","6911.8","8460.2","10386.8","11532.6","11727.8","11866.2","12966","13379","15217.9","17771.1","17761.1","15838","23149.7","26661.4"
"Курганская область","49.4","63.1","90","97.4","87.3","109.9","126.8","138.4","139.4","145.6","149","182","183.4","190.4","223.2","216.7","255.9","299.6"
"Свердловская область","995.2","1373.2","1729.3","1923.9","1577.2","2083.8","2477.9","2699.4","2817.4","3028.9","3160","3133","3561.5","3967.3","4094.6","4305.4","5793.9","6506"
"Тюменская область","3154.4","3635.2","3685.1","4479.4","4278.1","5037.8","6294.2","7179.9","7215.2","6963.5","7815","8007","9164.2","11177.7","11090.8","8972.3","13731.5","16438"
"Ханты-Мансийский авт. округ - Югра","1793","2151","2303","2715","2623","2976","3579","3991","3950","4033","4314","4258","4791.6","5702.2","5830.9","4398.9","6708","7852.8"
"Ямало-Ненецкий авт. округ","496","594","652","818","803","935","1185","1464","1683","1796","2147","2357","2878","3632.9","3555.3","3039.1","4722.3","6158"
"Тюменская область без авт. округов","865","890","730.2","946.4","851.6","1126.8","1530.1","1725.7","1582.2","1135.1","1354","1392","1494.6","1842.7","1704.5","1534.2","2301.2","2427.2"
"Челябинская область","607","753","1020","1182","969","1229","1488","1515","1556","1728","1842","2056","2308.9","2435.7","2352.5","2343.7","3368.4","3417.9"
"Сибирский федеральный округ","2675.9","2918.8","3634.7","4194.7","4035.2","5139.1","6204.7","6740.8","7052.1","7599.5","8151","8728","10129.3","11605.3","12088.4","11793.6","15497.9","17326.4"
"Республика Алтай","4","5","6","6","5","4","6","4","4","18","21","31","36.7","48.8","55.5","56.6","75.6","105.4"
"Республика Тыва","4","4","5","6","6","9","10","11","12","14","17","24","48.4","45.7","34.9","29.1","35.3","43.7"
"Республика Хакасия","47","66","76","78","74","92","102","126","119","135","161","158","173.2","191.8","198.4","201.3","271.1","348.4"
