"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Республика Крым","","","","","","","","","","","","","","","1895.9","1912.6","1922.9","1929.6","1932.8","1938.6","1931.9","1931.1","1916.8","1909.5"
"Краснодарский край","5132.8","5131.6","5119.8","5114.9","5118.9","5127.3","5142.9","5170.7","5194.4","5214.2","5230","5297.2","5356.1","5443.4","5505.8","5579.7","5650.2","5695.9","5753.8","5794.1","5815.6","5832","5819.3","5833"
"Астраханская область","1009.3","1005.5","1004.8","1006.1","1006.5","1002.5","1001.3","1005.9","1009.9","1011.1","1009.8","1011.5","1007.5","1007.4","1009.2","1003.9","1001.5","997.4","991.1","979.9","969","957.8","950.6","946.4"
"Волгоградская область","2725.4","2709.6","2694.2","2672.4","2656.2","2640.4","2630","2623.1","2618.1","2614.1","2607.5","2598.6","2590.7","2580.7","2572.9","2565.4","2558.5","2548.5","2538.7","2526.2","2513.6","2492.8","2470.1","2453.9"
"Ростовская область","4439.3","4417.7","4396.7","4375.5","4352.7","4332.4","4314.6","4297.6","4292.5","4284.8","4275.2","4264","4261.4","4255.7","4255.7","4253.7","4252.7","4245.3","4230.6","4229.5","4216.6","4192.3","4164.5","4152.5"
"г. Севастополь","","","","","","","","","","","","","","","399","437.4","458.6","479.5","499.6","522.4","531.8","547.5","558.3","561.4"
"Северо-Кавказский федеральный округ","8700.5","8844.4","8937.8","8967.1","8994.6","9036.8","9090.5","9187","9267.6","9353.2","9439","9509.6","9575.3","9641.1","9725.7","9803.8","9877.8","9942","10002.3","10082","10131.3","10174.1","10205.7","10251.1"
"Республика Дагестан","2486","2536.1","2581.4","2617.5","2652.7","2692.6","2735.8","2788.6","2826.5","2868.8","2914.2","2934.6","2953.6","2975.1","3004.9","3032.5","3061.3","3086.6","3113","3140.9","3164.8","3186.9","3209.8","3232.2"
"Республика Ингушетия","445.4","455.5","468.8","451.9","433.7","417.4","406.7","406.6","409.2","411.7","414.5","429.3","440.1","449.6","459.3","467.2","473.6","480.1","488.2","496.7","504","511.3","519.1","527.2"
"Кабардино-Балкарская Республика","886.7","894.3","901.1","889.6","877.3","866.2","858.5","857.3","858.1","859.6","859.8","861.7","865","867.4","872.8","878.5","883.9","888.5","892.1","897.3","900.6","904.3","903.3","905.5"
"Карачаево-Черкесская Республика","440.6","439.8","438.9","444.4","450.2","454.5","461.6","466.4","470.1","473.8","477.4","474.8","472.3","470.5","470","469.8","469.3","469.9","469.9","470.3","470.3","469.1","468.4","468.3"
"Республика Северная Осетия - Алания","704.4","709.6","709.7","707.7","706.4","706.9","708.8","711.5","711.7","711.7","712.5","708.9","706.2","703.9","704.8","703.4","702.6","700.7","697.8","694.9","690.8","685.4","680.7","678.9"
"Чеченская Республика","996.5","1072.9","1105.4","1116.9","1133.2","1152.3","1172","1196.9","1224.4","1249.9","1275.1","1302.4","1325.2","1347","1370.5","1394.7","1415","1436.7","1456.4","1477.7","1496.6","1514.6","1533.2","1552.9"
"Ставропольский край","2740.9","2736.2","2732.5","2739.1","2741.1","2746.9","2747.1","2759.7","2767.6","2777.7","2785.5","2797.9","2812.9","2827.6","2843.4","2857.7","2872.1","2879.5","2884.9","2904.1","2904.2","2902.5","2891.2","2886.1"
"Приволжский федеральный округ","31531.4","31316","31104.5","30893.1","30678.7","30453.2","30264","30146.9","30052.9","29993.2","29879.8","29811.4","29773.3","29740.5","29717.4","29679.8","29646.4","29556.5","29413.8","29307.7","29092.7","28869.5","28683.2","28540.8"
"Республика Башкортостан","4115.2","4108.3","4102.3","4094.2","4081.3","4066.3","4053.4","4054.8","4059.4","4068.5","4072.1","4072.6","4078","4095.3","4105.8","4114","4118.8","4122.7","4118","4112.8","4096.1","4091.6","4077.6","4064.4"
"Республика Марий Эл","739.1","732.8","726.7","722.7","718.3","713.4","708.6","704.9","701.6","699.4","695.5","693","691.3","690","689.2","688.1","687.4","685.4","683.9","683.4","679.8","676.4","672.3","669.9"
