"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Приволжский федеральный округ","198050.9","247405.8","255099.9","281897.9","322716.6","355588.2","405288.8","480806.1","619134.3","605167.8","562140.7","766229.8","767821.2","838916.6","958092.9","1113851.6","1204825.9","1194371.2","1191900","1316907","1518948","1653334","2035524"
"Республика Башкортостан","27552.1","35847.8","42880.7","49105.6","55276.1","60351.2","70904.4","80480.7","102814.3","100724.5","86171.7","107122.3","102932.4","119796.6","128186.1","149964.5","158708.8","157270.1","157486","169683","191805","193313","258308"
"Республика Марий Эл","5021.2","6210.7","6074","7171.2","8306.2","10141.7","11145.6","12120.4","14797.4","15994","15588.4","20002.4","22843.5","27183.4","35069","43315.4","39217.4","38912.7","43262","49083","44309","49740","58147"
"Республика Мордовия","8618.3","10072","11343.7","11906.9","12702.2","16055.7","18471.2","22125.7","28706.8","31123","25880.8","37863.2","39299","40285.6","46301","53540.1","58873.1","59702.5","63662","71959","77613","91700","109307"
"Республика Татарстан","30648.9","39384.8","39010.4","44882.1","53660.4","61603","71638.6","90724","113975.2","112199.8","98043.7","147628","147839.9","157706.9","184289","211810.1","229812.8","235297.3","226034","248781","264329","245517","317517"
"Удмуртская Республика","9963.2","13182.2","14410","15000.1","15843.9","18660.4","21828.5","24426.7","30870.4","31473.8","32680.1","43607.3","44229.9","45513.2","56511.6","62291.5","64544","65292.8","64539","67705","71476","78919","91298"
"Чувашская Республика","8317.8","9748.2","10110.6","10896","11869.5","13482.6","14654.7","16150","21314.1","23072.3","20912.4","30531.3","30867.8","29086.2","33925.4","39604.2","39553.6","38615.4","37468","42903","44837","49461","64532"
"Пермский край","14006.2","16902.2","15989.2","16137.1","17600.7","18126.9","19010","19696.8","25932.9","25923.7","28053.6","37009","33039.3","33732.8","37287.6","40628.3","40048.6","41560.3","44193","43237","49881","55856","66309"
"Кировская область","10920.2","12958.1","12828.6","13436.6","15386.7","16252.5","16817.5","17005.4","22378.1","22102.5","22088.7","27281.2","26061.5","27151.6","33947","36231.8","38528.8","39271.8","41253","43879","48928","53918","68126"
"Нижегородская область","14556","17600.4","18083","19847.9","22563.1","26547.8","29038.4","32110.5","41914.1","38084","36242.4","46591.1","44312.1","50224.1","62019.3","67202.7","67368.2","69004","67560","77523","84017","99795","120007"
