"region","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Тюменская область без авт. округов","0","0","0","0","8","1","36.2","31.1","167.6","144.4","0","0","1645.8","1980.52","3297.27"
"Челябинская область","77","13","0","0","0","0","0","0","0","0","87.8","280.4","1703.3","958.31","902.58"
"Сибирский федеральный округ","348.4","524.3","1432","4733.7","1024.2","1299.7","2210","1655.1","1446.9","5282.5","3073.1","1969.5","4747.8","5626.23","5785.52"
"Республика Алтай","0","0","0","0","0","113.4","15.6","107.7","120.8","136","103.2","0","2.8","2.1","0"
"Республика Тыва","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Республика Хакасия","0","0","0","0","0","0.6","0","0","0","78.8","0","0","0","0","0"
"Алтайский край","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Красноярский край","0","0","0","0","0","75.1","700","714.8","562.6","1705.4","1690","851","2422.1","2181.74","2263.21"
"Иркутская область","0","0","0","0","0","0","0","0","0","229.8","229.8","259.2","39.6","0","0.96"
"Кемеровская область","0","0","1049.5","4453.7","580.5","592.9","1490.9","830.2","750.2","1610.7","847","786.5","1683.4","1908.17","234.39"
"Новосибирская область","171.9","48.9","63.1","82","37.9","45.9","0","0","0","0","0","0.2","244.2","84.1","868.2"
"Омская область","0","0","0","0","0","0","0","0","0","0","0","0","355.7","1418","2406.19"
"Томская область","0.5","0","0","0","0","0","0","0","5.3","1513.8","0","72.6","0","32.12","12.57"
"Дальневосточный федеральный округ","565.4","606.2","513","549.8","1094.4","1102.9","635.8","295.7","211","108.4","19.8","13.7","1354.3","1172.47","1103.41"
"Республика Бурятия","174","475.4","319.4","198","405.8","471.8","3.5","2.4","8","8","2.3","2.5","4.2","79.5","109.64"
"Забайкальский край","2","0","0","0","0","0","0","0","0","0","200.8","0","0","0","0"
"Республика Саха (Якутия)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.08"
"Камчатский край","0","0","0","0","0","0","0","0","0","0","0","0","185.6","364.97","885.67"
"Приморский край","530.4","571.2","513","549.8","1094.4","1102.9","635.8","295.7","211","10","10","0","270.3","14","72.2"
"Хабаровский край","35","35","0","0","0","0","0","0","0","8.4","8.4","9.2","701.4","711.6","8.3"
"Амурская область","0","0","0","0","0","0","0","0","0","0","0","0","16.3","0","8.33"
"Магаданская область","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Сахалинская область","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.19"
"Еврейская авт. область","0","0","0","0","0","0","0","0","0","0","1.4","2","168.5","1","1"
"Чукотский авт. округ","0","0","0","0","0","0","0","0","0","90","0","0","8","1.4","0"
