"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Омская область","191993","213976","261674","310513","326879","357195","402762","503481","552613","599347","652835","725451","827996","909004","961850","985731","1018884","1087256","1131964","1937734","2034388","2289559","2459265"
"Томская область","161121","189350","213667","267859","295327","319795","361563","489096","545898","619506","673404","863117","980603","987240","1048117","1119720","1171769","1253735","1355788","1645400","1723120","2380029","2437854"
"Дальневосточный федеральный округ","1144282","1338014","1482381","1849684","1991989","2214245","2485870","2979000","3424690","4290077","4675943","6080300","7787282","8359973","9187563","10631373","11636934","12404342","14995431","20042136","21745940","25623158","26718562"
"Республика Бурятия","107029","138679","166665","188615","200509","221056","206590","299067","343681","375160","402856","430210","485596","521445","557500","565871","609133","642667","743113","1156759","1232213","1287146","1342515"
"Республика Саха (Якутия)","227793","244550","280473","357706","389591","450823","506544","590058","657603","733665","776760","921586","1194724","1336424","1520532","1758532","2025084","2208092","2443951","3588703","3956647","4653374","5173557"
"Забайкальский край","125252","171686","226267","250341","260582","316690","384530","454018","512955","559907","592903","650405","695610","753560","790099","850779","923639","944432","989829","1526075","1656340","1745899","1887600"
"Камчатский край","63975","65244","72382","85851","94084","100939","113962","158848","169981","180548","194506","242183","267001","296821","321916","359528","500594","540786","534999","781855","863987","1032481","1072636"
"Приморский край","180681","231358","294027","407011","446027","457446","476660","581679","634614","799882","912847","1695166","2676321","2612167","2481077","2739943","3125796","3346264","3424996","3587066","3657569","5262126","5664979"
"Хабаровский край","309666","379711","332389","371876","395949","437286","489476","596954","670723","752349","809105","1041749","1203168","1353020","1358317","1458497","1589042","1623543","1722484","2954280","3079309","3645646","3750384"
"Амурская область","165136","203808","254061","325363","339012","384833","411171","473453","493989","530204","562364","623125","759529","816040","830450","863641","1009163","1072521","1168547","1886666","2159954","2387967","2728872"
"Магаданская область","48680","54817","68306","78048","86131","93758","100547","115027","122805","136348","144914","150356","174595","230924","226512","240208","258861","280970","347962","474377","497822","558471","630987"
"Сахалинская область","106273","114955","130229","164880","174132","207065","287633","332989","522887","996746","1091696","1208172","1263901","1440706","2153134","2895401","2762977","2909469","3170137","3523653","4032622","4370008","3749776"
"Еврейская авт. область","23185","29938","36365","42653","45180","52480","72817","96110","104532","97291","107363","116967","158568","162408","184022","199084","224027","252341","259059","350513","360985","383177","380672"
"Чукотский авт. округ","18893","13633","14149","16296","21883","29615","27060","33882","47556","63044","76388","80996","89475","111463","111603","116539","141390","170356","190354","212190","248492","296863","336584"
