"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Удмуртская Республика","21426.4","23890.8","23208.9","26983.3","22157","23935.4","23537","27485","21642.9","23581.6","23433.8","27936.4","22075","25053.6","24463.1","30224.8","22599.5","24791.1","25093.3","31125.3","23834.7","26945.2","28087.9","34051.9","30268","33701","33497","37501","33106","37409","38720","43770","36013"
"Чувашская Республика","15982.8","17116.7","17607.3","20299.2","16692.4","17840.1","17459.6","20205.7","16386.4","18421.6","17879.6","21502.3","17237.1","20009","20031.4","23907.5","18950.9","20472.1","20750.1","24965.4","19293.2","23611","24215.3","28147.4","24556","27441","28842","33449","28902","31404","32510","36100","30652"
"Пермский край","25511.3","27598","28444","29969.1","26587.8","28150.4","27755.8","31374.9","26428.5","28322.1","27445.2","33305.2","26811.9","30109.4","30631.5","35667.6","28211.1","27969.2","28804.6","36643.5","27725.2","31208.2","32613.2","40344.8","33164","36962","38734","49680","37293","41729","42426","57828","39556"
"Кировская область","19349","21297.7","21877.5","25291.6","20458.2","22112.3","21583.7","26103.3","20699.9","23104.8","22463.6","26585.6","21439","25056.6","24808.5","27949.2","22948.9","25659.3","25273","28480.9","23941.5","27808.2","28889.2","32290.2","28942","33161","35321","42610","32484","36678","37243","45068","34251"
"Нижегородская область","28355.3","30607.6","29222","32409.1","27983.8","31341.9","29384.8","33070.5","29362.8","31880.5","29843.8","35056.2","30907.1","34156.9","33300.9","37967.8","32402","31757.9","32893.7","38866.6","32023.3","36678.9","38827.3","43329","38468","44285","45324","53420","42251","48469","49424","60286","49624"
"Оренбургская область","20449.3","22279.4","21717.7","25559.1","21790.4","22547.9","21858.5","27081.6","21956.7","23573.8","22826","27122.7","22574.8","24375","25291.9","28315.4","23878","24116.9","24787.7","28822.4","24118.8","25774.1","27893","31340.6","28927","29883","33116","39451","32904","33125","34877","44991","36253"
"Пензенская область","19335.9","20875.6","19816.8","22634.4","20079.8","20394.1","20516","24615","20235.7","21643.6","20526.7","24992","20473.3","23162.8","22680.3","25905.7","22139.6","23386.2","24551.7","26740.4","24768.2","26190.1","27019.1","27989.9","28702","30455","32322","36069","31698","33295","36303","38952","35312"
"Самарская область","23557.4","27394.2","26505.8","29831","25188.6","27153.4","26097.1","29167.5","25184.6","27004.3","27831.3","31793.7","26432.4","28156.9","28482.8","33678.7","27854.2","28542","28109.4","33913","27098.3","31669","31633.8","38574.8","31778","37095","37320","47056","35745","40789","41820","50547","41265"
"Саратовская область","16481.1","19732.7","19682.8","22210.8","17767.7","19616.9","19897.7","22230.2","19466.1","20079.8","19421.7","24856.8","19152.3","21913.6","21441.7","26361.7","20763.5","22214.6","23048.7","27643.7","21189.9","24978.3","25765.1","29580.8","24464","28504","30951","36593","27659","31153","31717","40846","30849"
"Ульяновская область","19503.1","22620.6","22761.5","25825.7","21616.9","22696.6","22174.3","26926.1","20681.1","22263.9","22521.1","26007.3","21026.3","23946","23502.9","26730.2","22450.2","24425.3","24369.6","27494.8","22851.7","26778.6","27858.4","30267.6","26238","32812","32979","34086","29509","34251","34634","44104","34524"
