"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Липецкая область","22976","23101","24043","26933","25550","26659","26606","25260","24893","27076","25222","34459","25658","25188","27005","28908","28153","29029","28908.2","27225","27674","29434","27886","36601","28966","28933","30475","32654","31286","32512","32574","31107","30129","32515","30775","39991","31009","30458","37517","35132","33528.2","34779","35394","33758","33674","34133","33478","44031","34401","33688","37486","34953","36305","35954","36658.2","35513","35243","35509","38052.9","47754","36126","35372","41277","39373","39914","41756","39684","38699","39029","39205","39808","51973","40334","41205","55126","43467","44152","47247","44357","44314","43368","45007","44815","60726","45934","45232","53349","49426","51706","53723","51359","51058","50942","53423","53067","72032","56202","57407","66736","61669"
"Московская область","39593","39916","42053","42434","43119","46033","42169","41417","43659","43275","43694","54239.3","42751","42350","45688","45133","46479","50606","44975.9","44034","45655","46271","47005","58944","46410","46669","50117","49692","50614","53862","48953","47837","49900","50565","50135","63912","51068","50612","54442","55097","55196.7","58317","54099","52151","53804","54940","54006","68970","55236","54124","57915","52094","55755","57044","56200.2","53724","55039","57519","55641.4","74969","56969","56127","60929","62274","62918","65598","62125","59594","62832","63860","64624","83117","64418","63134","72090","68359","67119","72750","67526","65718","68411","69878","70274","92465","72775","72337","78263","78723","79272","84954","79931","78617","82496","85939","86103","110082","88324","87368","94983","93480"
"Орловская область","20270","20696","21645","21894","23309","25059","22245","22572","22682","22704","23280","28688.1","22172","22298","23825","24004","25012","26716","23780.9","23654","24301","24052","24418","31670","24413","24868","25747","26084","27434","29001","26584","26820","26295","26774","26834","33424","26451","26692","27957","28574","29840.7","31324","29335","28711","28885","29425","29341","38594","28961","29184","30772","30635","31853","33475","31802.8","30832","31378","30502","30829.1","41851","30323","30431","32622","33692","34670","37562","34604","34088","34278","35115","35148","49553","34635","34747","38358","38206","39518","43838","38743","39328","39768","40331","40876","57164","40929","41751","44312","44447","46895","51459","45195","45842","46620","47064","47051","66278","48222","48727","52089","52086"
"Рязанская область","24159","24896","25673","26350","29337","28887","27229","27578","27137","26942","27174","34394","25867","26010","27246","28264","30923","30679","28624.7","28581","28565","28655","28941","37500","29120","29179","30380","31478","33950","33763","31130","31641","31124","31138","31192","39222","30488","30437","31731","33809","35917.4","35393","33578","33598","33307","33550","33192","42979","32857","33497","35098","35363","36200","38063","35988.8","35324","35999","36245","34819.7","46431","35317","35855","38156","39631","40354","43742","38995","38844","40021","39582","39822","53071","39899","39707","43263","45534","44065","47384","45099","43508","44092","44571","45242","59975","45384","46347","49166","50623","52626","55755","52513","51975","51683","53603","54479","74180","54953","56901","61641","59779"
"Смоленская область","22471","23527","23761","25162","25067","27943","24470","24503","24442","24253","24590","31160.2","23948","24545","25410","26158","26145","28302","25304.6","25006","25886","26219","26571","32854","26457","27181","27209","28850","29110","31072","28576","28727","28925","28893","29566","37307","28623","29074","29831","31141","31540.7","33009","30748","30336","30490","31239","31078","39235","31663","30725","31731","31863","32833","34578","32983.6","31374","32655","32598","31811.7","41718","33530","32142","33870","36475","35854","38287","35782","34617","35323","35286","36149","45853","37214","35407","39655","39500","39925","43558","40140","38664","40425","41733","41528","53749","43397","42467","44900","46077","47658","51140","47021","47269","47935","49293","50187","63234","52115","52141","54941","56426"
"Тамбовская область","20468","20569","21317","22156","23774","24528","22032","22312","22405","22734","23447","28173.9","22292","21441","23239","23125","25300","25680","23432.3","23733","23611","24281","24203","30008","24008","24059","24947","24840","27935","28336","25498","26024","25588","26206","26754","33252","25794","25530","27205","27528","29122.6","30001","28089","27817","28038","28979","28932","36487","28100","27686","29858","29804","31002","31406","30491.3","29895","30439","30779","30082.2","37268","29178","29084","33132","31854","33783","34641","32431","31555","33097","33302","33914","48300","33361","31791","36515","36568","37462","40516","36646","37317","37979","41156","40079","52883","39565","38871","42240","41562","45106","46847","42075","42935","44277","45802","46391","60613","47322","47351","51773","50906"
"Тверская область","23456","24690","25155","25456","26301","28348","25279","25026","25853","25527","26091","31989.5","24850","25736","26353","27063","27704","29182","26576.4","25756","27155","26879","27504","33852","27300","28416","28963","30045","30530","32627","29707","29574","29613","30278","30764","37769","30517","30855","31322","32642","33392.3","35013","32330","32322","33246","33004","33168","41298","33560","33250","34258","34643","35614","37443","33392.1","32065","33355","34180","33736.2","42773","34297","35614","37027","39669","40123","42322","39498","38118","40005","39262","40295","50080","39997","39249","43773","44042","44643","47688","43335","42606","43422","45203","45365","58713","46276","46388","49609","50554","52378","55289","51081","51081","50879","53253","55804","72395","56301","56864","59928","62143"
"Тульская область","26724","27130","27912","27862","28817","30100","29211","28782","29259","28849","29154","34994.3","28564","28844","30681","30602","31040","33022","31036.5","30535","31183","30732","31401","37671","31840","32167","33163","33888","34237","35545","33869","33662","33274","33455","33933","41198","34211","34215","36176","37377","37353.2","39478","37667","36566","36668","37002","36757","46503","37832","37525","39144","37799","39999","41048","40764.7","38760","39093","38890","38013.9","49280","39333","38750","42352","42880","43241","45692","44756","42413","43465","44259","44225","55342","45862","43883","49731","46775","48332","52576","48446","46962","47964","49079","49270","62908","50539","51196","55874","55033","56707","61674","56692","56532","57063","59140","60096","79541","61600","61979","66607","68031"
"Ярославская область","25725","26022","27410","28002","28997","29911","27535","27317","28038","28318","28950","35444.5","27766","27890","29505","29847","31069","31883","29367.2","28815","29446","30652","31425","38377","31460","31542","32819","32939","34039","35359","32961","32236","32685","33427","33882","41869","32895","32424","34850","35066","35860.2","36954","35570","33938","34585","35357","34934","44307","35137","35170","37112","36748","37314","37774","38481.2","36705","36889","37664","36836.7","48262","37183","37036","40044","41291","41292","42893","41069","39044","40652","40954","41917","53291","41505","40189","45050","45794","45499","48782","45333","44791","45232","46841","47556","61579","47951","47734","50506","51938","53968","56620","52557","52171","52794","54729","55070","73491","55256","57194","62338","61167"
"г. Москва","60162","67092","70551","74733","69772","73215","69015","68728","66920","67025","67899","98435.5","61277","67219","72129","77694","69460","77565","70819.7","67655","69122","69847","70993","104052","70251","80183","84081","89318","81064","90094","80999","77618","77274","79151","78946","113988","79680","85370","95179","102907","89044.8","96030","91607","86733","86684","89129","88657","135375","88845","92390","105238","101551","91823","98700","98930","90304","93062","94065","95314.1","153647","93059","104451","116355","117769","105246","109306","108520","98974","102233","103393","104877","172553","103124","114701","146044","120501","113671","123688","115294","109060","113895","113163","113722","185645","111898","120098","141925","137296","127327","138717","128329","122329","125394","134023","128849","218637","131745","146248","179097","157447"
"Северо-Западный федеральный округ","36719","38819","40358","40093","41278","43006","40618","38914","39508","40089","40521","52371.9","39840","41320","43586","43835","44629","47091","43953.6","42538","43262","43874","44630","57675","46775","47109","48624","48712","48977","51726","48980","46757","47221","48080","48489","62351","47568","48868","52223","52636","52478.6","54543","52600","49841","50200","51819","51277","67627","52175","53958","57575","53164","55793","58632","56710.9","53103","55672","55752","54357.5","74357","55636","57985","61289","62711","62664","65477","61812","58291","61463","60576","61872","84162","62270","65814","73365","69226","69581","74781","68979","66016","67834","68784","69659","96790","69712","74675","77065","77704","81174","85490","78264","75713","77155","80427","79413","109015","81523","87109","89916","89081"
"Республика Карелия","29920","31717","31192","31425","33664","35768","31468","31037","31576","32173","32112","38991.8","32761","33792","35118","34788","35265","37516","34187.6","31332","33227","33242","34476","43397","34733","37141","37272","36203","39421","43470","37575","36305","37505","38505","39755","48854","38908","40103","41257","41080","44490.5","46606","42301","38989","40676","41524","42188","54900","42855","43708","45288","44129","47313","50345","45184.2","42066","44403","46331","44047.5","58487","46470","45324","47699","48358","49984","54514","47290","44533","47473","47754","47949","64294","51991","50752","54428","52869","57059","61260","53593","51067","52996","53999","54027","71827","57634","59699","60705","61113","66182","71616","61706","60736","62215","64769","63282","84557","69548","66613","73130","70118"
"Республика Коми","40969","41146","42897","44054","46701","48066","42144","40926","40434","40613","41285","51985.9","40774","41829","44340","45475","49622","48592","43591","44142","42993","43058","44748","56351","46073","47717","49005","49831","55830","51938","49588","48173","46950","47680","48316","60455","49205","48865","51055","54801","56732.2","55070","53406","51309","50026","51058","50417","66130","52853","52591","54920","56629","61270","59386","57577.9","54789","54589","54127","52364.4","70421","55538","54889","57685","60229","65664","62388","60198","56516","55378","55694","56092","76378","60121","60998","65816","67971","70514","68816","69148","66930","64254","65817","65408","87937","70552","69408","73659","73500","86174","80084","76584","73664","70970","72834","73211","100862","78762","78302","82660","85875"
"Архангельская область","38593","37553","39885","40275","44072","45268","40495","38251","39185","39664","39805","49152.3","40119","39402","40653","42069","46123","47331","41914","40173","41771","41434","43478","53335","44797","44594","45508","47039","50403","53286","46833","44736","46190","46750","47526","58503","48186","47739","48216","51233","54942.5","55930","51015","48387","48744","50934","50593","65000","51334","52104","53034","53838","58637","59331","54797.8","51972","52975","53517","51951.4","66943","54955","54679","57130","59057","61992","66108","58115","54914","58326","58105","58927","77240","60365","59202","62571","64802","69186","74993","65469","61830","64913","65436","66983","88499","68303","68154","71120","72022","79041","83422","72257","69274","72752","74078","75362","99743","77719","78570","81352","81956"
"Ненецкий авт. округ","71601","65272","70950","71649","80029","76576","70173","65245","66006","67387","66211","87751.3","71636","66525","71920","76616","84418","79706","68250.2","69106","68852","68903","71438","92879","80362","72467","80396","82561","92880","94038","79095","83628","75788","76499","77277","97556","83535","77082","81917","86861","99487.2","96825","83456","83755","79468","79910","80562","105423","88943","82490","87688","100624","97736","100589","87824.2","89141","84371","82289","81537.1","112190","93699","85311","92484","96709","102007","109432","94472","87298","88317","84579","86708","120807","100573","90590","99640","98937","108435","123706","104650","105314","97159","99801","98345","141152","111357","102138","112860","111520","130106","124032","118376","116939","106457","111728","111812","159586","124383","115887","130307","128294"
