"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Республика Дагестан","2.762","1.606","1.456","1.502","1.77","1.9","2.1","2.5","2.8","1.8","2.2","2.7","3.1","3.2","2.7","2.3","2.2","2.5","2.6","2.6","2.9","2.7","2.1"
"Республика Ингушетия","0.036","0.122","0.104","0.207","0.194","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Кабардино-Балкарская Республика","0.909","0.696","0.628","0.619","0.806","0.8","1","1.3","1.3","0.8","0.5","0.6","0.8","0.8","0.6","0.7","0.7","0.5","0.6","0.5","0.5","0.3","0.6"
"Карачаево-Черкесская Республика","1.331","1.328","1.525","2","2.469","2.2","2.9","2.9","2.2","2.6","2.9","2.8","2.5","2.4","1.8","1.5","1.5","1.3","1.1","1.2","1.4","1.3","1.3"
"Республика Северная Осетия - Алания","1.576","1.875","1.764","2.004","2.157","2.2","2","2.1","2","1.4","1.7","1.6","1.6","1.3","1.1","0.8","0.9","0.9","0.7","0.7","1","0.8","0.9"
"Чеченская Республика","0.152","0.716","1.578","1.895","2.127","2.2","2.2","2.4","2.2","1.6","1.2","0.9","0.8","0.7","0.5","0.4","0.2","0.2","0.3","0.3","0.2","0.2","0.2"
"Ставропольский край","6.56","8.018","8.822","7.704","8.487","10.4","10.5","11.5","10.6","9.1","7.5","8.7","8","7.3","7.8","7.9","7.3","7.3","6.5","6.1","5.4","6","5.8"
"Приволжский федеральный округ","144.635","149.569","164.836","182.054","187.515","191.4","197.7","209","201.2","167","191.2","193.7","199.9","192.8","200.6","189.3","187.8","197.3","201.8","198.8","192.7","194.7","179"
"Республика Башкортостан","23.323","24.498","23.636","25.134","26.576","29.4","31.9","33.3","33.1","28.4","28.9","29.4","30.5","30.1","31.5","28.4","28.4","28.5","28.4","29","26.4","27.1","26"
"Республика Марий Эл","0.402","0.66","0.68","0.89","0.831","1","1.1","1.6","1.4","1.4","1.6","1.6","1.6","0.7","1.1","1.5","1.2","1.2","1.3","0.9","1.1","0.7","0.2"
"Республика Мордовия","2.1","2.4","2.5","3.1","3.3","3.5","3.5","3.4","3.2","2.9","3.6","3.1","3.3","3.2","3","2.3","2.4","3.1","2.8","3.4","3.2","3","2.8"
"Республика Татарстан","10","10.3","10.5","13.2","12","10.9","10.8","11.1","10.3","9.4","10","11.7","16.3","15.7","15.7","15.5","15.2","15.8","16.4","16","16.1","15.4","16.8"
"Удмуртская Республика","3.8","4.2","3.4","3.8","3.5","4.1","4.6","5","5.4","4.4","5.2","4.3","4","2.9","2.7","2.2","2.2","2.1","2.3","2.3","2.2","2.1","1.7"
"Чувашская Республика","0.8","0.9","1","1","1.3","1.3","1.3","1.3","1.1","0.8","1","1","1","0.9","0.8","0.7","0.7","0.7","0.6","0.7","0.7","0.7","0.6"
"Пермский край","34.4","34.2","35.8","36.7","39","42.3","42.5","45.1","43.1","31.9","40.8","40.1","38.9","39","42.2","41.2","41.9","45.3","46.5","47","47.2","49.3","37.7"
"Кировская область","7.4","7.3","7.3","7.6","8.6","8.9","8.6","8.4","8.1","6.1","7.1","7","6.7","6.3","6.3","5.8","6.1","6.2","6.9","6.2","6.5","6.7","5.8"
"Нижегородская область","8.8","10.9","13.8","15.1","16.7","18.1","19.5","20.8","20.2","17.5","19.5","18.5","16.9","16.6","17","15.5","16.1","15.6","15.1","15.1","11.8","14.1","14.2"
"Оренбургская область","20.9","22.3","24.8","27.5","29.3","28.1","30.3","33.9","34.6","29.7","33.2","34.8","37.7","35.2","36.6","35.4","35","37.3","36.8","34.1","32.6","32.5","30.7"
"Пензенская область","1.6","1.5","1.4","1.7","1.5","1.8","1.5","1.3","1.1","0.8","1.1","1.2","1.3","1.3","1.8","1.9","2.2","2.4","2.6","2.5","2.9","2.6","2.1"
"Самарская область","17.7","17.6","25.3","29.9","27.4","24.1","23.9","24.8","22.1","20.1","21.5","23.2","23","23.7","23.9","23.6","20.9","20.9","22.5","22.7","21.8","20.6","20.2"
"Саратовская область","10.4","10.1","12","13.4","14.1","14.7","14.7","15.5","14.7","10.7","14.2","13.9","14.6","13.7","14.5","12","12.3","15","16.7","16.2","16.8","16.5","16.8"
"Ульяновская область","3","3","2.9","3","3.4","3.2","3.4","3.6","2.7","3","3.5","3.8","4.1","3.6","3.5","3.3","3.2","3.2","3","2.9","3.4","3.5","3.3"
"Уральский федеральный округ","123.8","119.7","126.3","123.8","132.9","144.4","152.2","159.8","149.6","115.5","131.1","158.5","186.8","182.4","185.2","180.2","178.5","179.7","177.5","179","176.1","182.1","178.5"
"Курганская область","2.2","1.5","1.7","1.8","1.7","2","2.2","2.1","1.8","1","1.6","10","19.4","17.4","15.7","15","12.9","13.9","12.5","13.7","14.2","12.8","13.5"
"Свердловская область","66.5","64.1","62.2","62","64.7","71.1","75","77.6","73.1","55.3","60.6","62.1","65","61.4","61","57.7","59.1","59.6","59.9","60.7","61.9","64.9","69.4"
"Тюменская область","10.4","10.6","19.9","13.7","15.4","17.7","19.6","19.3","19.1","18.7","22","24.5","26.4","30.5","34.2","40.6","40.2","38.4","37.7","37.7","38.2","38.8","37.8"
"Ханты-Мансийский авт. округ - Югра","6","6.1","6.6","7.6","8.6","9.4","9.7","9.8","10.1","9.5","9.9","10.5","11.7","13.4","13.8","14.1","14.1","13.9","13.9","14.6","14.4","13.6","12.4"
"Ямало-Ненецкий авт. округ","2.1","1.8","1.9","2.2","2.6","4","5.5","5.2","4.4","4.6","5.4","6","6.3","7.9","8.5","13","13.5","11.9","11.4","11.9","11.8","13.4","13.9"
"Тюменская область без авт. округов","2.3","2.6","11.4","4","4.2","4.2","4.3","4.4","4.6","4.6","6.7","8","8.4","9.2","11.8","13.6","12.5","12.6","12.3","11.3","12","11.7","11.5"
"Челябинская область","44.8","43.5","42.5","46.199","51.21","53.7","55.5","60.8","55.6","40.5","46.9","62","76","73.1","74.4","66.9","66.2","67.8","67.4","66.9","61.8","65.6","57.9"
"Сибирский федеральный округ","297.3","314.3","316.5","346.5","368.4","381.7","395.7","400.1","408.7","374.8","396.612","402.872","411.298","410.023","412.218","411.418","419.392","447.907","461.2","457.9","434.7","442.5","418.1"
"Республика Алтай","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Республика Тыва","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Республика Хакасия","8.9","9.5","8.3","11","12.1","12.8","12.6","13.6","14.1","13.4","14.2","15.1","15.7","16.2","17.6","18.6","18.6","21.2","23.6","25.3","27.6","28.6","26.3"
"Алтайский край","7","7.6","8.5","8.7","9.3","8.8","8.5","10","9.8","8.2","16.1","18.3","18.6","18.8","17.5","17","16.9","18.4","18.3","17.1","16.4","17.9","17.1"
"Красноярский край","45.2","45.6","41.5","45.1","44.5","47.3","53.1","54.9","62.6","50","54.1","52.7","53.2","47.7","45.2","49.3","51.3","53.3","57.1","55.9","47.7","45.7","49.2"
"Иркутская область","50.7","51.6","50.2","58.2","61.7","68.1","68.7","66.7","67.2","59.6","64.5","59.3","59.3","57.6","53.6","50.6","49.1","50.4","50","49.2","46.2","46","44.6"
"Кемеровская область","164","176.9","181.4","195.2","211.1","212.8","220.2","221.5","221.2","215.3","214.7","222.4","226.6","233.6","242.6","242.7","249.7","265.3","265.7","266","253.7","260.3","237"
"Новосибирская область","9.1","10","11.6","12.2","13.3","15.1","14.6","14.9","15.6","11.3","14","15.6","17.3","17.3","16.2","13.8","15.4","21","26.4","23.8","23.5","23.8","23.9"
"Омская область","10.7","11.3","13.1","13.8","13.9","14","14.6","15.3","15.5","14.8","16.7","17.1","18.5","16.7","17.2","17.2","16","15.7","17.3","17.8","17","17.1","17.4"
"Томская область","1.8","1.8","2","2.4","2.6","2.6","3.4","3.3","2.7","2.1","2.4","2.3","2.1","2.2","2.2","2.3","2.4","2.6","2.8","2.7","2.6","2.9","2.6"
"Дальневосточный федеральный округ","64.1","65","65.3","72","72.6","79.4","81.2","83.4","81.4","64.1","90.013","97.603","98.402","85.496","84.316","85.534","83.149","89.976","90.9","93.5","94.4","108.4","118.6"
"Республика Бурятия","6.6","6.3","6.1","6.5","7.1","8.1","8.8","8.8","9","7.4","9.9","13.4","14","14.4","15.5","14.8","16.1","16.1","16.7","16.7","16.7","13.8","16.5"
"Республика Саха (Якутия)","8.4","8.3","8.6","9.3","10","10.2","10.8","11","11.3","5.8","8.4","9.3","10.1","9.7","10.7","10.6","12.5","13.6","9.8","9.5","8.6","9.4","10.2"
"Забайкальский край","14.7","16.3","13.2","15.2","12.8","13.2","14.3","13.4","12.4","10.4","12.2","12.4","10.9","11.4","10.3","9.5","9.5","11.5","12.7","14.9","15.3","15.7","17.2"
"Камчатский край","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Приморский край","11.5","10.6","10.9","11.8","12.7","13.8","14.5","16.7","17.1","12.6","14.5","15.8","15.2","15.1","13.9","13.6","12","13.7","13.7","14.3","14.4","18.7","21.8"
"Хабаровский край","13.4","13.8","16","17.8","18.1","20","19.8","21.5","20.7","18.5","20.2","20.7","22.3","21.3","21.3","21.6","20.4","21.1","21.9","21.9","21.2","23.4","22"
"Амурская область","5.8","6.2","6.6","7.3","7.5","8.8","8.4","7.8","6.7","6.3","21.5","22.4","22.6","11.1","10.5","13.5","10.4","9.8","11.3","11.1","12.8","21.6","24.8"
"Магаданская область","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Сахалинская область","2.2","2","2","2.1","2.6","3.4","3","2.7","2.7","2.4","2.5","2.6","2.3","1.6","1.3","1.1","1.1","1.2","1.1","1.3","1.4","1.5","1.4"
"Еврейская авт. область","1.6","1.5","1.8","1.9","1.7","2","1.6","1.4","1.4","0.7","0.9","1","1","0.9","0.9","0.8","1.1","2.9","3.7","3.9","4.1","4.3","4.6"
"Чукотский авт. округ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
