"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Тюменская область","81.7","96.2","105.7","98.1","79.697","91.667","105.079","102.7","84.6","94.226","113.735","103.33","84.69","99.257","116.809","104.859","81.904","78.124","98.614","98.813","86.12","103.437","116.318","107.056","85.432","101.518","116.136","99.54","83.741","103.029","116.186","100.603","93.807"
"Ханты-Мансийский авт. округ - Югра","38.2","44.5","47.9","46.2","38.001","40.168","46.37","44.7","36.6","43.361","51.603","44.865","35.922","41.144","49.171","45.36","36.37","34.287","42.551","44.997","38.663","44.599","49.426","47.177","37.89","42.345","49.611","42.739","37.045","43.985","50.675","43.634","43.604"
"Ямало-Ненецкий авт. округ","18.5","21.7","24.4","24.7","19.327","22.345","25.634","26.8","25.1","22.368","26.43","28.871","23.824","25.154","25.007","26.135","22.018","22.074","24.364","27.537","24.218","28.567","30.591","31.204","23.83","29.627","31.269","29.312","22.937","27.675","29.718","29.904","25.003"
"Тюменская область без авт. округов","25","29.9","33.4","27.3","22.369","29.154","33.075","31.1","23","28.497","35.702","29.594","24.944","32.959","42.631","33.364","23.516","21.763","31.699","26.279","23.239","30.271","36.301","28.675","23.712","29.546","35.256","27.489","23.759","31.369","35.793","27.065","25.2"
"Челябинская область","48.4","58.1","65.6","55.9","48.592","56.308","64.682","55.8","46.3","54.841","66.869","54.902","48.264","56.147","66.018","58.687","44.145","46.069","59.48","51.471","48.247","60.417","69.09","55.805","49.414","63.933","76.947","58.185","51.897","71.818","75.487","60.36","54.643"
"Сибирский федеральный округ","272.4","342.9","379.6","336.9","268.19","329.855","363.872","325.5","253.7","323.982","366.528","314.216","232.197","281.61","328.796","283.546","212.655","236.322","285.687","260.609","228.464","309.516","341.971","290.562","236.233","327.884","364.816","294.704","250.87","347.394","349.946","280.767","244.091"
"Республика Алтай","2.5","3.1","3.1","2.6","2.37","2.934","3.044","2.6","2.1","2.762","3.591","2.531","2.379","2.924","3.286","2.825","2.261","2.714","2.998","2.266","2.475","3.507","3.597","2.546","2.418","3.649","3.795","2.469","2.916","4.569","3.899","2.779","2.983"
"Республика Бурятия","11.6","13.6","16.6","15.1","12.862","13.875","15.928","14.7","11","12.851","15.561","14.707","11.361","13.692","17.373","16.312","12.001","10.707","15.049","12.364","11.185","14.754","16.816","13.614","11.164","15.699","19.043","16.218","12.956","17.907","19.886","15.772","12.607"
"Республика Тыва","3.4","4","4.8","5.3","3.429","4.343","5.321","5","3.8","4.196","4.608","5.234","3.435","3.971","5.076","6.373","3.711","3.784","5.15","5.675","3.542","4.968","6.275","6.533","4.212","5.852","7.419","6.683","4.676","6.644","8.448","7.543","5.138"
"Республика Хакасия","6.4","7.7","8.9","8","5.756","7.6","8.346","7.8","5.5","7.558","7.809","7.366","7.323","7.321","8.429","8.361","5.37","6.457","7.389","6.598","6.438","8.583","9.194","8.399","6.442","8.378","9.677","7.555","6.754","8.957","9.053","8.46","6.42"
