"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Удмуртская Республика","53307.4","65551.4","78346.3","89034.5","100833.1","139995.3","164848.5","205647.4","243135.5","230938.3","274578.1","335984","372782.7","405126.4","450548.9","517999.8","570254.8","592037.6","679938.9","722846","684430.6","841936.2"
"Чувашская Республика","22995.1","30778.5","37180.6","45133.1","59573.8","69391.6","93172","123453.3","155032.3","139909.5","157704.6","188785.7","217821.1","223147.9","237447.2","251307","284659.1","296505.8","316622.9","339490.4","346046.4","392957.9"
"Пермский край","124142.2","166803.4","178091","209275.7","266325.9","327273.3","383770.1","477794.2","607362.7","539831.5","623116.8","840101.1","860342.7","880264.4","974192.9","1063780.2","1147634","1245826.9","1422704.6","1496401.4","1385352.5","1740525.2"
"Кировская область","35795.4","41699","49974.2","57795.8","70706.2","79800.6","97047.1","118154.9","151116.7","146321.3","172352","195269.5","208505.4","224152.3","254089.4","282191","313533.8","331754.4","353265.5","370472.6","396946.8","481407"
"Нижегородская область","105055.9","149322.6","170826.5","206926","241230.4","299723.7","376180.3","473307.4","588790.8","547223","652805.9","770774","842195.5","925182","1009460.1","1104643.2","1282751.8","1387920.9","1502156.2","1617171.8","1600333.4","1888121.4"
"Оренбургская область","76343.3","85168.3","94182.5","115824.6","169876.7","213138.2","302808.4","370880.9","430023.1","413395.5","458145.4","553320.9","628563.6","717014.8","731277.7","774962.1","814765.4","872857.1","1058504.8","1106329.2","1046728.3","1394280.2"
"Пензенская область","25218.7","33262.6","41623.4","48111.5","59711.7","74362.7","88805","119104","147853.2","147185.1","172166.7","213401.2","239962.5","270436.8","295238.7","343328.6","358258.2","376076.2","411028.7","448521.1","484785.4","537290"
"Самарская область","140407.4","180049.3","206320.2","256554.6","327118.5","401812.2","487713.5","584968.6","699295.6","583999.9","695651.2","834149.3","937434.5","1048545.8","1149147.8","1264910.2","1364822.2","1449005.8","1625558.8","1689575.4","1625461.8","2122537.2"
"Саратовская область","63068.2","83665.7","97326.4","119909","151636.9","170930.5","204291.2","252867.2","321747.2","326370.4","376169.4","431028","478275.8","526178.9","566646.1","625176.8","700848.6","728946.4","773838.6","809822.6","856515.7","1005800.9"
"Ульяновская область","30415","38563.6","45677","55184.3","67501","80584.4","101950.3","124676.2","150680.3","154247.4","178235.4","223672.7","240556.1","265288.7","278808.2","304479.1","366954.7","374827.9","386675.4","424995.6","438968.9","498806.3"
"Уральский федеральный округ","866133.4","1120819.8","1335976","1659322.1","2234753","3091363","3720616.2","4236325.5","4815668","4360451","5118918.5","6314341","7098364.5","7568240","8119343.5","9063072","9770443","10983195","13035608","13272019","11636178","16698970"
"Курганская область","18705.2","25379.6","29940.8","37046.2","42470.6","50245.8","68434.5","81076","106223.2","107914.5","117879.5","136325.1","146045.5","167037.9","170310.3","179436.3","202100.4","209985.5","215589.9","236825.8","240188.2","268494.7"
