"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Удмуртская Республика","9904","13602.8","11476.6","13068.4","15540","26876","34312","44565.1","53536","40450","51148","62311","64221","82678","91571","81846","87128.7","83705.6","96978.9","105780.5","120463.1","125354.3","137003.9"
"Чувашская Республика","4940","6224.9","8203.2","10949","15233.5","19445","25861","38069.4","50473","35688","42612","55925","65255","60122","53457","55725","50139.9","52365.5","56433.7","65416.8","55858.4","63872.1","93777"
"Пермский край","27516","37976.6","38894.3","39679.3","50972.7","56800","75519.5","122480.4","152363","132274","139652","144781","162241","219494","207597","226214","239389.9","245139.6","243613","283775.7","281563.2","307972.9","357167"
"Кировская область","4275","4875.4","5577.1","7531.6","11111.8","17088","24184.6","37389.4","42672","31471","34553","40185","50545","58655","61448","55760","57001.1","57860.7","59508.3","72234.2","67878.9","77176.5","84716"
"Нижегородская область","15383","18218","27593.1","37399","52205.2","64581","89272.2","133188.7","207392","201692","192072","224350","257454","280884","276820","235067","232010.4","245268","259392.9","295252.2","370871.8","384491.1","462074.9"
"Оренбургская область","15005","18228.9","18097","21017.5","28606.2","39993","52952.7","80352.7","108868","91268","103648","116658","151250","152877","153979","169243","167278.5","184877.2","208105.1","212039.4","201333.4","201912.5","234682.9"
"Пензенская область","3956","6107.3","6819.7","8618.6","11166.2","15689","25459.1","44023.2","52632","43603","45678","57495","72343","82164","82079","89042","64945.5","72050.1","87106","89372.6","94531.5","97902.2","103836.9"
"Самарская область","23125","32540.7","39968.5","46458.2","60491.4","67206","88559.5","137126.8","148262","111189","154423","182575","213022","269737","321760","302884","256776","259544.2","264988.8","293732","308525.4","386809.1","446698.6"
"Саратовская область","13506","14397.8","17630.7","20732.9","24336.9","40435","46992.6","56709.6","83221","67760","80041","101406","117646","125834","137421","140129","141337.3","145163.6","154864.1","162120.3","167078","173755.2","207730.6"
"Ульяновская область","4187","5004.6","6115.4","6917","11474","14711","21881.6","34970.3","48507","49500","47993","59226","72985","76835","77178","79461","70575.6","84093.7","82923.7","79731.8","81546.1","98322.3","105140.2"
