"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Республика Тыва","39.4","14.4","1.5","4.5","2.5","3","2","0.8","0.8","6.9","0.4","0.6","0.6","0","0.3","0.4","0.5","0.177","64.7","50.4","30","49.5"
"Республика Хакасия","377","353.9","337.9","457.3","665.7","686.4","1228.8","1424.5","2033.2","1456.8","1871.7","1432.2","1861.1","1719.9","1909.4","1612","1413.9","1909.677","2192.1","1745.9","1622.5","2630"
"Алтайский край","51.4","60.6","71.9","129.5","248.6","270.5","175.2","212.6","486.3","347.8","191.8","319.6","313.8","347.8","274.5","256.1","316.4","384.288","455.5","564.5","409.5","478.8"
"Красноярский край","3550.2","2755.5","3177.7","3838","5078.5","6048.4","8264.2","11564.9","8434.6","7540.5","9712.3","9181.2","8037.3","7443.1","7265.5","6305.9","4695.7","5828.913","6583.4","6598.2","6127.7","6974.6"
"Иркутская область","2924.7","2668.3","2632.6","2703.8","3318.1","3228.7","4264.9","4384.9","4914.7","3871.9","4873.9","5996.3","6983.5","7676.8","6687.1","5946.9","5247.3","6001.223","6808.2","6792","5537.1","8194.1"
"Кемеровская область","1676.4","1888.3","1596.2","2241.4","3600.2","4243.5","5528","5932.3","8269.3","7583.9","9192.1","10651.2","10857.1","11186.2","11240.9","8758.2","8381.6","12231.104","14596.3","13475.1","10261","13307.8"
"Новосибирская область","163.6","170.5","243.3","261.2","229.9","422","457.1","703.1","816.9","621.7","972.1","858.9","929.6","909.1","937.8","963.6","1057.6","1541.645","1909.4","2362.2","2233.6","2843.3"
"Омская область","618.1","564.7","669.4","994.3","3712.7","6612.8","4379.9","231.1","239.3","196.2","6244.7","411.8","391.7","356.5","353.5","300","272.4","348.316","556.7","698.6","431.8","534.3"
"Томская область","698","596.2","554.8","518.3","513","1007.6","570.6","668.7","599.1","548.3","678.3","654.8","755","515.1","291.6","227.4","153.7","137.587","159.5","140.3","150.7","146.6"
"Дальневосточный федеральный округ","3841.6","5602.9","4059.5","4827","6349.3","9369","8637.3","13093.4","14449.7","12644.4","19057.4","25540.1","26793.4","29416.199","29874.301","21998.801","19396.6","23002.152","28903","28200.7","23271.4","27846.4"
"Республика Бурятия","113.3","139.7","202.1","336","278.5","207","262.5","308.7","314.6","447.9","431.6","695.1","896.6","1246.1","1272.1","1490.3","920.5","749.186","941.7","875.7","1151.6","1325.2"
"Республика Саха (Якутия)","1089","1282.8","943.9","1150.7","1676.8","2140.5","2141.3","2055.7","2163","1461.4","3169","4244.9","4458.1","4694.7","5018.2","3753.2","4388.5","4770.813","4593.9","4038.6","3422.9","5541.7"
"Забайкальский край","103","83.5","87.1","88.4","83.3","244.1","245.1","347.3","213.9","246","102.3","204.6","208.9","178.8","119","107.7","108.5","217.595","393.5","582.6","1044.1","1403.9"
"Камчатский край","122.4","155.4","142.9","154.6","109.9","146.7","142.1","144.1","168.9","537.5","628.9","605","698.8","614.4","520.3","554.8","570.4","700.276","843.1","868.7","822.4","976"
"Приморский край","608.8","1145","788.6","759","807.7","1048.6","1068.1","1109.3","868.6","1063.1","1408.9","1670.8","1979.4","3324.5","3963.5","2702.1","2169.6","3065.024","3405.6","4051.2","2830","3403.1"
"Хабаровский край","1306.9","2350.2","1173.5","1600.1","1835.6","2803.9","3431.3","1747.9","1709.2","971.7","1222.6","1621.6","1518.8","1501.4","1435.3","1142.8","1543.1","2135.451","2566.9","1591.6","1367.9","2155.1"
"Амурская область","58.3","96.4","70.7","76.1","98.8","164.3","156.3","208.8","270.3","169.7","158.2","234.6","406.8","442.2","383.2","397.8","339.5","307.469","368.9","473.4","645","621.7"
"Магаданская область","3.7","2.8","6.3","7.7","25.2","19.9","19.8","117","128.4","90.2","107.7","196.2","195.4","298.6","309.3","141.5","228.6","238.996","236","250.1","206.9","281"
"Сахалинская область","423.8","330.3","636.2","646","704.6","1061.4","1037.3","7035.9","8590","7607.8","11778.5","16010.5","16366.9","17008.801","16696.301","11582.7","8998.3","10574.094","15271","15186.7","11322.5","11469.1"
"Еврейская авт. область","12.1","16.7","8.1","8.3","5.1","8.3","11.4","18","21.6","12.9","8.7","11.3","15.9","17.5","22.8","37","34.5","119.158","149.2","117.9","197.6","394.4"
"Чукотский авт. округ","0.3","0.1","0.1","0.1","723.8","1524.3","122.1","0.7","1.2","36.2","41","45.5","47.8","89.2","134.3","88.9","95.1","124.09","133.2","164.1","260.5","275.4"
